Material type,Material number,Material description,Serial number,Storage location,Movement type,Material document number,Posting date,Quantity,UOM,Amount,Cost object,User Name
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",2872W32,OSR,311,4900127051,9/18/15,1,EA,0,,MHUARD
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",2872W32,7SR,311,4900127051,9/18/15,1,EA,0,,MHUARD
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",2872W32,7SR,201,4900132095,11/25/15,1,EA,"1,854.27",1805011,FPIERRE
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",2BDDN12,OSR,311,4900110324,1/23/15,1,EA,0,,JARIAS
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",2BDDN12,7SR,311,4900110324,1/23/15,1,EA,0,,JARIAS
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",2BDDN12,7SR,201,4900111418,2/12/15,1,EA,"1,813.27",1550161,ERIKJOHN
ZIT,DELLE7250,"Laptop, DELL, Latitude E7250 (1EA)",2C8LZ52,OSR,101,5000170349,8/31/15,1,EA,"1,839.38",,JARIAS
ZIT,DELLE7250,"Laptop, DELL, Latitude E7250 (1EA)",2C8LZ52,OSR,311,4900125645,9/1/15,1,EA,0,,BILLG
ZIT,DELLE7250,"Laptop, DELL, Latitude E7250 (1EA)",2C8LZ52,7SR,311,4900125645,9/1/15,1,EA,0,,BILLG
ZIT,DELLE7250,"Laptop, DELL, Latitude E7250 (1EA)",2C8LZ52,7SR,201,4900125740,9/1/15,1,EA,"1,839.38",1805011,FPIERRE
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",2CDDN12,OSR,311,4900114373,3/30/15,1,EA,0,,JARIAS
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",2CDDN12,7SR,311,4900114373,3/30/15,1,EA,0,,JARIAS
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",2CDDN12,7SR,201,4900114707,4/2/15,1,EA,"1,813.28",1550161,ARIVERA
ZIT,DELLE7250,"Laptop, DELL, Latitude E7250 (1EA)",2D1J062,OSR,101,5000171804,9/16/15,1,EA,"1,839.38",,BILLG
ZIT,DELLE7250,"Laptop, DELL, Latitude E7250 (1EA)",2D1J062,OSR,311,4900127051,9/18/15,1,EA,0,,MHUARD
ZIT,DELLE7250,"Laptop, DELL, Latitude E7250 (1EA)",2D1J062,7SR,311,4900127051,9/18/15,1,EA,0,,MHUARD
ZIT,DELLE7250,"Laptop, DELL, Latitude E7250 (1EA)",2D1J062,7SR,201,4900132322,12/1/15,1,EA,"1,839.38",1805011,ZUKOWSKI
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",2LQ3V32,OSR,101,5000167676,8/4/15,1,EA,"1,854.27",,BILLG
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",2LQ3V32,OSR,311,4900127051,9/18/15,1,EA,0,,MHUARD
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",2LQ3V32,7SR,311,4900127051,9/18/15,1,EA,0,,MHUARD
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",2LQ3V32,7SR,201,4900130369,11/3/15,1,EA,"1,854.27",1805011,FPIERRE
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",2LXDK32,OSR,101,5000147391,1/5/15,1,EA,"1,854.26",,BILLG
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",2LXDK32,OSR,311,4900115004,4/7/15,1,EA,0,,BILLG
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",2LXDK32,7SR,311,4900115004,4/7/15,1,EA,0,,BILLG
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",2LXDK32,7SR,201,4900115366,4/10/15,1,EA,"1,828.78",1550161,ERIKJOHN
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",2Q74M12,7SR,201,4900109566,1/12/15,1,EA,"1,813.28",1550161,ARIVERA
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",2SZFH12,3SR,201,4900109644,1/12/15,1,EA,"1,813.28",1550161,BENTHAM
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",2TZFH12,3SR,201,4900121405,7/6/15,1,EA,"1,828.78",1550161,MHUARD
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",2V13062,OSR,101,5000172095,9/18/15,1,EA,"1,854.27",,JARIAS
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",2V13062,OSR,311,4900127064,9/21/15,1,EA,0,,SCOTBAIN
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",2V13062,7SR,311,4900127064,9/21/15,1,EA,0,,SCOTBAIN
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",2V13062,7SR,201,4900129527,10/22/15,1,EA,"1,854.27",1805011,FPIERRE
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",2X4QK52,7SR,101,5000173241,9/30/15,1,EA,672.26,,KITOWICZ
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",2XYQQ32,OSR,101,5000163880,6/26/15,1,EA,"1,854.27",,BILLG
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",2XYQQ32,OSR,311,4900122905,7/27/15,1,EA,0,,JARIAS
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",2XYQQ32,7SR,311,4900122905,7/27/15,1,EA,0,,JARIAS
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",2XYQQ32,7SR,201,4900123394,7/31/15,1,EA,"1,854.27",4010036,ZUKOWSKI
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",302CK52,OSR,311,4900127184,9/22/15,1,EA,0,,JARIAS
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",302CK52,OSR,101,5000172344,9/22/15,1,EA,672.26,,BILLG
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",302CK52,7SR,311,4900127184,9/22/15,1,EA,0,,JARIAS
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",302CK52,7SR,311,4900131356,11/17/15,1,EA,0,,PSOK
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",302CK52,3SR,311,4900131356,11/17/15,1,EA,0,,PSOK
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",302CK52,3SR,201,4900131417,11/17/15,1,EA,672.26,8200050,BENTHAM
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",30JQM32,OSR,101,5000156001,4/7/15,1,EA,"1,854.26",,BILLG
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",30JQM32,OSR,311,4900118311,5/22/15,1,EA,0,,JARIAS
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",30JQM32,7SR,311,4900118311,5/22/15,1,EA,0,,JARIAS
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",30JQM32,7SR,201,4900120017,6/16/15,1,EA,"1,828.78",1550161,ELUBONJA
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",30R3V32,OSR,101,5000167676,8/4/15,1,EA,"1,854.27",,BILLG
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",30R3V32,OSR,311,4900126202,9/9/15,1,EA,0,,JARIAS
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",30R3V32,7SR,311,4900126202,9/9/15,1,EA,0,,JARIAS
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",30R3V32,7SR,201,4900126675,9/15/15,1,EA,"1,854.27",1805011,FPIERRE
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",32Y4062,OSR,101,5000172095,9/18/15,1,EA,"1,854.27",,JARIAS
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",32Y4062,OSR,311,4900127064,9/21/15,1,EA,0,,SCOTBAIN
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",32Y4062,7SR,311,4900127064,9/21/15,1,EA,0,,SCOTBAIN
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",32Y4062,7SR,201,4900129527,10/22/15,1,EA,"1,854.27",1805011,FPIERRE
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",36ZDK32,OSR,101,5000147391,1/5/15,1,EA,"1,854.26",,BILLG
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",36ZDK32,OSR,311,4900121566,7/8/15,1,EA,0,,BILLG
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",36ZDK32,7SR,311,4900121566,7/8/15,1,EA,0,,BILLG
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",36ZDK32,7SR,201,4900121648,7/8/15,1,EA,"1,828.79",1805011,ELUBONJA
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",38H0562,7SR,101,5000179070,11/24/15,1,EA,"1,854.27",,KITOWICZ
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",3BL3B32,OSR,101,5000165445,7/14/15,1,EA,672.26,,BILLG
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",3BL3B32,OSR,311,4900122078,7/15/15,1,EA,0,,JARIAS
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",3BL3B32,3SR,311,4900122078,7/15/15,1,EA,0,,JARIAS
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",3BL3B32,3SR,201,4900122167,7/15/15,1,EA,672.26,8200050,MHUARD
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",3CS5M32,OSR,101,5000161601,6/4/15,1,EA,"1,854.27",,BILLG
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",3CS5M32,OSR,311,4900122610,7/22/15,1,EA,0,,BILLG
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",3CS5M32,7SR,311,4900122610,7/22/15,1,EA,0,,BILLG
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",3CS5M32,7SR,201,4900122683,7/22/15,1,EA,"1,854.26",7160003,FPIERRE
ZIT,DELL7010,"Desktop, Dell, OptiPlex 7010 (1 EA)",3DVF942,OSR,101,5000151253,2/19/15,1,EA,983.84,,BILLG
ZIT,DELL7010,"Desktop, Dell, OptiPlex 7010 (1 EA)",3DVF942,OSR,311,4900127074,9/21/15,1,EA,0,,SCOTBAIN
ZIT,DELL7010,"Desktop, Dell, OptiPlex 7010 (1 EA)",3DVF942,7SR,311,4900127074,9/21/15,1,EA,0,,SCOTBAIN
ZIT,DELL7010,"Desktop, Dell, OptiPlex 7010 (1 EA)",3DVF942,7SR,201,4900129527,10/22/15,1,EA,964.28,1805011,FPIERRE
ZIT,DELL7010,"Desktop, Dell, OptiPlex 7010 (1 EA)",3DVG942,OSR,101,5000151253,2/19/15,1,EA,983.84,,BILLG
ZIT,DELL7010,"Desktop, Dell, OptiPlex 7010 (1 EA)",3DVG942,OSR,311,4900127074,9/21/15,1,EA,0,,SCOTBAIN
ZIT,DELL7010,"Desktop, Dell, OptiPlex 7010 (1 EA)",3DVG942,7SR,311,4900127074,9/21/15,1,EA,0,,SCOTBAIN
ZIT,DELL7010,"Desktop, Dell, OptiPlex 7010 (1 EA)",3DVG942,7SR,201,4900130287,11/2/15,1,EA,964.29,1805011,FPIERRE
ZIT,DELL7010,"Desktop, Dell, OptiPlex 7010 (1 EA)",3DVJ942,OSR,101,5000151253,2/19/15,1,EA,983.84,,BILLG
ZIT,DELL7010,"Desktop, Dell, OptiPlex 7010 (1 EA)",3DVJ942,OSR,311,4900127074,9/21/15,1,EA,0,,SCOTBAIN
ZIT,DELL7010,"Desktop, Dell, OptiPlex 7010 (1 EA)",3DVJ942,7SR,311,4900127074,9/21/15,1,EA,0,,SCOTBAIN
ZIT,DELL7010,"Desktop, Dell, OptiPlex 7010 (1 EA)",3DVJ942,7SR,201,4900130395,11/3/15,1,EA,964.28,1805011,FPIERRE
ZIT,DELL7010,"Desktop, Dell, OptiPlex 7010 (1 EA)",3DWF942,OSR,101,5000153262,3/10/15,1,EA,983.84,,MHUARD
ZIT,DELL7010,"Desktop, Dell, OptiPlex 7010 (1 EA)",3DWF942,OSR,161,5000153269,3/10/15,1,EA,983.84,,MHUARD
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",3FYDK32,OSR,101,5000147391,1/5/15,1,EA,"1,854.26",,BILLG
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",3FYDK32,OSR,311,4900121566,7/8/15,1,EA,0,,BILLG
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",3FYDK32,7SR,311,4900121566,7/8/15,1,EA,0,,BILLG
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",3FYDK32,7SR,201,4900121647,7/8/15,1,EA,"1,828.78",1805011,ELUBONJA
ZIT,DELLE6440,"Laptop, DELL, Latitude E6440 (1EA)",3HS0M12,OSR,311,4900110689,1/30/15,1,EA,0,,BILLG
ZIT,DELLE6440,"Laptop, DELL, Latitude E6440 (1EA)",3HS0M12,7SR,311,4900110689,1/30/15,1,EA,0,,BILLG
ZIT,DELLE6440,"Laptop, DELL, Latitude E6440 (1EA)",3HS0M12,7SR,201,4900111107,2/6/15,1,EA,"1,579.18",1550161,ERIKJOHN
ZIT,DELLE6440,"Laptop, DELL, Latitude E6440 (1EA)",3QS0M12,OSR,311,4900112348,2/27/15,1,EA,0,,JARIAS
ZIT,DELLE6440,"Laptop, DELL, Latitude E6440 (1EA)",3QS0M12,7SR,311,4900112348,2/27/15,1,EA,0,,JARIAS
ZIT,DELLE6440,"Laptop, DELL, Latitude E6440 (1EA)",3QS0M12,7SR,201,4900114071,3/24/15,1,EA,"1,579.16",7160003,FPIERRE
ZIT,DELLE6440,"Laptop, DELL, Latitude E6440 (1EA)",3SS0M12,OSR,311,4900111219,2/11/15,1,EA,0,,BILLG
ZIT,DELLE6440,"Laptop, DELL, Latitude E6440 (1EA)",3SS0M12,7SR,311,4900111219,2/11/15,1,EA,0,,BILLG
ZIT,DELLE6440,"Laptop, DELL, Latitude E6440 (1EA)",3SS0M12,7SR,201,4900112248,2/26/15,1,EA,"1,579.18",1550161,ERIKJOHN
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",3TS4W32,OSR,101,5000171650,9/15/15,1,EA,"1,854.27",,BILLG
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",3TS4W32,OSR,311,4900127051,9/18/15,1,EA,0,,MHUARD
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",3TS4W32,7SR,311,4900127051,9/18/15,1,EA,0,,MHUARD
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",3TS4W32,7SR,201,4900132095,11/25/15,1,EA,"1,854.27",1805011,FPIERRE
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",3W51S22,OSR,101,5000147438,1/6/15,1,EA,672.26,,BILLG
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",3W51S22,OSR,311,4900114128,3/25/15,1,EA,0,,JARIAS
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",3W51S22,7SR,311,4900114128,3/25/15,1,EA,0,,JARIAS
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",3W51S22,7SR,201,4900114203,3/26/15,1,EA,672.26,8700040,ARIVERA
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",3WK2562,7SR,101,5000182233,1/5/16,1,EA,"1,854.27",,KITOWICZ
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",3X00R32,OSR,101,5000163880,6/26/15,1,EA,"1,854.27",,BILLG
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",3X00R32,OSR,311,4900122693,7/23/15,1,EA,0,,BILLG
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",3X00R32,7SR,311,4900122693,7/23/15,1,EA,0,,BILLG
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",3X00R32,7SR,311,4900122694,7/23/15,1,EA,0,,BILLG
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",3X00R32,OSR,311,4900122694,7/23/15,1,EA,0,,BILLG
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",3X00R32,OSR,311,4900122695,7/23/15,1,EA,0,,BILLG
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",3X00R32,3SR,311,4900122695,7/23/15,1,EA,0,,BILLG
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",3X00R32,3SR,201,4900122984,7/27/15,1,EA,"1,854.26",1805011,MHUARD
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",405QM32,OSR,101,5000156001,4/7/15,1,EA,"1,854.26",,BILLG
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",405QM32,OSR,311,4900121884,7/13/15,1,EA,0,,JARIAS
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",405QM32,7SR,311,4900121884,7/13/15,1,EA,0,,JARIAS
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",405QM32,7SR,201,4900121941,7/13/15,1,EA,"1,828.78",1805011,ARIVERA
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",41M3B32,OSR,101,5000165445,7/14/15,1,EA,672.26,,BILLG
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",41M3B32,OSR,311,4900122458,7/21/15,1,EA,0,,BILLG
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",41M3B32,7SR,311,4900122458,7/21/15,1,EA,0,,BILLG
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",41M3B32,7SR,201,4900122563,7/21/15,1,EA,672.26,1805011,FPIERRE
ZIT,DELLE6440,"Laptop, DELL, Latitude E6440 (1EA)",430BL32,OSR,101,5000151254,2/19/15,1,EA,"1,579.18",,BILLG
ZIT,DELLE6440,"Laptop, DELL, Latitude E6440 (1EA)",430BL32,OSR,311,4900127051,9/18/15,1,EA,0,,MHUARD
ZIT,DELLE6440,"Laptop, DELL, Latitude E6440 (1EA)",430BL32,7SR,311,4900127051,9/18/15,1,EA,0,,MHUARD
ZIT,DELLE6440,"Laptop, DELL, Latitude E6440 (1EA)",430BL32,7SR,201,4900130395,11/3/15,1,EA,"1,579.16",1805011,FPIERRE
