"name","assigned_to","u_casper_id","manufacturer","serial_number","depot","location","u_mac_address","u_filemaker_id","sys_updated_on","disk_space"
"wm904-e73","","3836","Apple","C02Q90H1G8WL","Chicago","","","274496","2016-01-11 10:03:24",""
"wm164-292","","3861","Apple","C02L87V8F6T6","Chicago","","","274534","2016-01-11 10:03:24",""
"wm89e-f98","","3827","Apple","C02LG5A2F6T6","Chicago","","","274504","2016-01-11 10:03:24",""
"wm425-b59","","3254","Apple","C02J32QCDKQ5","Chicago","","","274566","2016-01-11 10:03:24",""
"wm98c-f38","","2382","Apple","C02LM5BNF6T6","Chicago","","","274582","2016-01-11 10:03:24",""
"wmc01-22b","","3824","Apple","C02MV81UF6T6","Chicago","","","274512","2016-01-11 10:03:24",""
"wmc49-16a","","3370","Apple","C02P31VRG3QT","Chicago","","","274606","2016-01-11 10:03:27",""
"wmc79-6be","","3321","Apple","C02NX43SG3QC","Chicago","","","274614","2016-01-11 10:03:27",""
"wm494-874","","2370","Apple","C02LT01MFD58","Chicago","","","274598","2016-01-11 10:03:27",""
"wm965-594","","2369","Apple","C02LT3MNFH05","Chicago","","","274590","2016-01-11 10:03:27",""
"wm9ed-8e8","","2313","Apple","C02LP1A8F6T6","Chicago","","","274636","2016-01-11 10:03:38",""
"gmeae-db1","","2760","Apple","C02L31N1F1G3","Chicago","","","274644","2016-01-11 10:03:38",""
"wmc58-348","","3346","Apple","C02NX44LG3QC","Chicago","","","274666","2016-01-11 10:03:38",""
"wmc0a-3f9","","3343","Apple","C02PF2K8FVH8","Chicago","","","274622","2016-01-11 10:03:38",""
"wmf2e-abb","","2811","Apple","C02JK1LMDRVG","Chicago","","","274630","2016-01-11 10:03:38",""
"wmf3f-051","","3519","Apple","C02PW0Y7G8WM","Chicago","","","274652","2016-01-11 10:03:38",""
"WM215-97F","","2181","Apple","C02L31G7FFT3","Chicago","","","274660","2016-01-11 10:03:38",""
"cmdb5-d1b","","2383","Apple","C02L73B5F1G3","Chicago","","","274706","2016-01-11 10:03:43",""
"wmb87-be7","","3868","Apple","C02QL1ZEG8WL","Chicago","","","274698","2016-01-11 10:03:43",""
"wm9e6-9dc","","2389","Apple","C02LX4P2FD59","Chicago","","","274720","2016-01-11 10:03:43",""
"wm1fe-2ce","","2304","Apple","C02LD7E6F6T6","Chicago","","","274714","2016-01-11 10:03:43",""
"gm008-e02","","725","Apple","W89310Z464B","Chicago","","","274674","2016-01-11 10:03:43",""
"wmb39-2f8","","3242","Apple","C02NT1KJG3QT","Chicago","","","274682","2016-01-11 10:03:43",""
"wm480-2d9","","3196","Apple","C02J70G7DKQ5","Chicago","","","274690","2016-01-11 10:03:44",""
"wm8c4-21e","","3829","Apple","C1MQC6TPG944","Chicago","","","274784","2016-01-11 10:03:53",""
"WMDC8-C46","","3396","Apple","C02MV0QKFT4P","Chicago","","","274746","2016-01-11 10:03:53",""
"wm799-4c5","","3543","Apple","C1MPJ067G944","Chicago","","","274816","2016-01-11 10:03:53",""
"wmc49-0ff","","1794","Apple","C02JD2TADRVG","Chicago","","","274778","2016-01-11 10:03:54",""
"gm8f8-2e4","","2373","Apple","C02LL0M9F1G3","Chicago","","","274840","2016-01-11 10:03:54",""
"wmc75-e86","","3344","Apple","C02NX40ZG3QC","Chicago","","","274762","2016-01-11 10:03:54",""
"wm821-bf3","","3719","Apple","C02Q63Z3G8WM","Chicago","","","274738","2016-01-11 10:03:54",""
"wmcf0-0c3","","3830","Apple","C02JC2TZDKQ5","Chicago","","","274792","2016-01-11 10:03:54",""
"wmc95-78c","","2940","Apple","C02ML1XVFD59","Chicago","","","274770","2016-01-11 10:03:54",""
"wme6c-edc","","2707","Apple","C02M42ETF6T6","Chicago","","","274754","2016-01-11 10:03:54",""
"wm9dd-0e7","","3779","Apple","C02QD2DVG8WL","Chicago","","","274832","2016-01-11 10:03:54",""
"wm963-eda","","2385","Apple","C02LT45FFD59","Chicago","","","274808","2016-01-11 10:03:54",""
"GM02E-7EA","","732","Apple","YM926GGM0TG","Chicago","","","274728","2016-01-11 10:03:54",""
"wm81f-a41","","3778","Apple","C02Q63ZNG8WM","Chicago","","","274824","2016-01-11 10:03:54",""
"wm971-e77","","3843","Apple","C02Q91ESG8WL","Chicago","","","274800","2016-01-11 10:03:54",""
"wmd2a-31e","","2732","Apple","C02MC22GFD58","Chicago","","","274970","2016-01-11 10:04:06",""
"wmba8-9be","","3284","Apple","C02NP6HRG3QC","Chicago","","","274962","2016-01-11 10:04:06",""
"gmce1-748","","3149","Apple","D25NL0DFF8J9","Chicago","","","274876","2016-01-11 10:04:07",""
"wm06d-00a","","1920","Apple","C02K62U9DRVG","Chicago","","","274860","2016-01-11 10:04:07",""
"ltk-old","","806","Apple","H094114E4PD","Chicago","","","274848","2016-01-11 10:04:07",""
"gmdba-ea5","","3389","Apple","C02KV0G4F1G3","Chicago","","","274906","2016-01-11 10:04:07",""
"wmc96-df4","","3364","Apple","C02P58CLG3QC","Chicago","","","274954","2016-01-11 10:04:07",""
"wmd92-d2c","","3004","Apple","C02MR22DFD58","Chicago","","","274930","2016-01-11 10:04:07",""
"wm28b-366","","3150","Apple","C02NDA99G3QC","Chicago","","","274886","2016-01-11 10:04:07",""
"wm8fd-dbe","","3213","Apple","C02NFE3QG3QC","Chicago","","","274946","2016-01-11 10:04:07",""
"wm0e2-cee","","3199","Apple","C02N7805G5RP","Chicago","","","274914","2016-01-11 10:04:07",""
"wm18b-f5e","","3189","Apple","C02N70MCG3QP","Chicago","","","274922","2016-01-11 10:04:07",""
"wm823-781","","3686","Apple","C02Q63ZBG8WM","Chicago","","","274938","2016-01-11 10:04:08",""
"WM18A-B05","","2242","Apple","C02LF0VQFFT4","Chicago","","","274894","2016-01-11 10:04:08",""
"wm215-981","","2178","Apple","C02L31G5FFT3","Chicago","","","274900","2016-01-11 10:04:08",""
"wm12e-71b","","1994","Apple","C02K70MTFFT3","Chicago","","","274978","2016-01-11 10:04:08",""
"wme13-1c9","","1899","Apple","C02K21Y9DKQ4","Chicago","","","274868","2016-01-11 10:04:08",""
"wm12e-227","","1995","Apple","C02K70MRFFT3","Chicago","","","274986","2016-01-11 10:04:08",""
"gmffa-1bd","","903","Apple","W80224ZXATP","Chicago","","","274994","2016-01-11 10:04:17",""
"wm546-47a","","2102","Apple","C02KX29BF6T6","Chicago","","","275032","2016-01-11 10:04:18",""
"wmd46-73f","","2380","Apple","C02JJ0ULDKQ5","Chicago","","","275002","2016-01-11 10:04:18",""
"gm1d0-dd8","","2746","Apple","D25HK0ECDHJW","Chicago","","","275078","2016-01-11 10:04:18",""
"wm9cc-89c","","3283","Apple","C02NJ1SJG3QP","Chicago","","","275054","2016-01-11 10:04:18",""
"wm471-6f4","","1917","Apple","C02JN2JSDRVG","Chicago","","","275026","2016-01-11 10:04:18",""
"wm147-89d","","3748","Apple","C02KC1PCFFT3","Chicago","","","275010","2016-01-11 10:04:18",""
"wm188-84e","","3231","Apple","C02N70M4G3QP","Chicago","","","275086","2016-01-11 10:04:18",""
"wm8ae-808","","2863","Apple","C02MC3H3F6T6","Chicago","","","275038","2016-01-11 10:04:18",""
"gm693-6a9","","2663","Apple","D25H212XDHJW","Chicago","","","275046","2016-01-11 10:04:18",""
"wmd2a-330","","2759","Apple","C02MC245FD58","Chicago","","","275070","2016-01-11 10:04:18",""
"wmc7a-c58","","3324","Apple","C02NX41HG3QC","Chicago","","","275062","2016-01-11 10:04:18",""
"wmb61-547","","2864","Apple","C02MM98TF6T6","Chicago","","","275018","2016-01-11 10:04:19",""
"wmb61-541","","2853","Apple","C02MM994F6T6","Chicago","","","275102","2016-01-11 10:04:24",""
"wm8af-840","","2848","Apple","C02MC3HBF6T6","Chicago","","","275110","2016-01-11 10:04:24",""
"wm945-504","","2847","Apple","C02MD2KTF6T6","Chicago","","","275126","2016-01-11 10:04:25",""
"bm92d-460","","1001","Apple","W80410CGAGY","Chicago","","","275094","2016-01-11 10:04:25",""
"wmd5b-523","","3404","Apple","C02PK64XFVH8","Chicago","","","275142","2016-01-11 10:04:25",""
"bm22a-251","","1865","Apple","C02JF203F1G3","Chicago","","","275134","2016-01-11 10:04:25",""
"wmc15-2b8","","2850","Apple","C02MJ2KXFD58","Chicago","","","275118","2016-01-11 10:04:25",""
"wmc11-278","","2725","Apple","C02M635EFD59","Chicago","","","275176","2016-01-11 10:04:28",""
"gmd67-013","","3869","Apple","D25PX15UFY14","Chicago","","","275150","2016-01-11 10:04:28",""
"wmc8d-25c","","3875","Apple","C1MQR30BG944","Chicago","","","275160","2016-01-11 10:04:28",""
"wm8a7-4e2","","2712","Apple","C02M91W1F6T6","Chicago","","","275168","2016-01-11 10:04:28",""
"wm0e2-cf2","","3276","Apple","C02N7803G5RP","Chicago","","","275214","2016-01-11 10:04:32",""
"cm478-801","","1916","Apple","C02JV0DRDTY4","Chicago","","","275184","2016-01-11 10:04:32",""
"wm08f-a7e","","2441","Apple","C02K81K0DRVG","Chicago","","","275192","2016-01-11 10:04:32",""
"wmcf0-259","","1860","Apple","C02JC2K3DKQ5","Chicago","","","275208","2016-01-11 10:04:32",""
"wm18b-c78","","3190","Apple","C02N70M9G3QP","Chicago","","","275200","2016-01-11 10:04:32",""
"wmca9-ace","","3870","Apple","C1MQR35YG944","Chicago","","","275332","2016-01-11 10:04:44",""
"cmce2-0da","","3166","Apple","D25NL0B1F8J9","Chicago","","","275234","2016-01-11 10:04:44",""
"wm497-6cb","","1715","Apple","C02J76P2DKQ5","Chicago","","","275348","2016-01-11 10:04:44",""
"wmc03-a52","","3241","Apple","C02NW0V8G3QT","Chicago","","","275300","2016-01-11 10:04:44",""
"xmce0-85e","","1035","Apple","H004618DGWR","Chicago","","","275222","2016-01-11 10:04:45",""
"wm64f-944","","2358","Apple","C02L427SF6T6","Chicago","","","275266","2016-01-11 10:04:45",""
"wmb8e-1ee","","2806","Apple","C02MF2AYFD58","Chicago","","","275258","2016-01-11 10:04:45",""
"gm0bf-7e3","","3239","Apple","C02P20JBFY14","Chicago","","","275290","2016-01-11 10:04:45",""
"wma39-266","","3221","Apple","C02NK89FG3QC","Chicago","","","275308","2016-01-11 10:04:45",""
"wm80b-181","","3822","Apple","C02Q70KHG8WL","Chicago","","","275324","2016-01-11 10:04:45",""
"wm8a7-90c","","2741","Apple","C02M91VVF6T6","Chicago","","","275316","2016-01-11 10:04:45",""
"wmf22-776","","2805","Apple","C02M91PHF6T6","Chicago","","","275250","2016-01-11 10:04:45",""
"wma39-248","","3229","Apple","C02NK897G3QC","Chicago","","","275282","2016-01-11 10:04:45",""
"wm5ca-c28","","3228","Apple","C02L23XNF6T6","Chicago","","","275274","2016-01-11 10:04:46",""
"rm5b3-b74","","1062","Apple","W80521PUAGZ","Chicago","","","275340","2016-01-11 10:04:46",""
"lmc06-c63","","3169","Apple","C02MV81XF6T6","Chicago","","","275242","2016-01-11 10:04:46",""
"wme09-b97","","2388","Apple","C02LH0Q3FFRR","Chicago","","","275354","2016-01-11 10:04:46",""
"vm4a6-6ed","","1066","Apple","QP05111SDNR","Chicago","","","275360","2016-01-11 10:04:49",""
"vma0e-638","","1074","Apple","W805318JAGZ","Chicago","","","275370","2016-01-11 10:04:49",""
"wm688-bb2","","3368","Apple","C02P32SZG5RP","Chicago","","","275378","2016-01-11 10:04:49",""
"wme6c-ef6","","2731","Apple","C02M42G7F6T6","Chicago","","","275410","2016-01-11 10:05:03",""
"wmbf1-131","","3803","Apple","C02QM1SVFVH8","Chicago","","","275496","2016-01-11 10:05:03",""
"wm8c4-92e","","3804","Apple","C1MQC6CXG944","Chicago","","","275504","2016-01-11 10:05:03",""
"wm8cb-e9c","","3713","Apple","C1MQ64QNG944","Chicago","","","275458","2016-01-11 10:05:03",""
"wmb22-f38","","3810","Apple","C1MQM26PG944","Chicago","","","275512","2016-01-11 10:05:03",""
"wmca0-6a0","","2945","Apple","C02MM2A8FD58","Chicago","","","275538","2016-01-11 10:05:03",""
"wm110-8c8","","2179","Apple","C02L88CVF6T6","Chicago","","","275546","2016-01-11 10:05:03",""
"wm800-d2b","","3714","Apple","C02Q70KFG8WL","Chicago","","","275474","2016-01-11 10:05:03",""
"wm6b2-190","","3708","Apple","C1MPW997G944","Chicago","","","275402","2016-01-11 10:05:03",""
"wmcb7-a52","","2586","Apple","C02M80TDFD58","Chicago","","","275450","2016-01-11 10:05:03",""
"wmf73-635","","1996","Apple","C02J91CYDRV9","Chicago","","","275386","2016-01-11 10:05:03",""
"bm568-2af","","1125","Apple","QP10710BDNR","Chicago","","","275520","2016-01-11 10:05:03",""
"wm19e-787","","2960","Apple","C02J4A74DKQ5","Chicago","","","275530","2016-01-11 10:05:04",""
"wme6c-ed4","","3631","Apple","C02M42G4F6T6","Chicago","","","275482","2016-01-11 10:05:04",""
"wm9a0-86e","","2330","Apple","C02LM52WF6T6","Chicago","","","275490","2016-01-11 10:05:04",""
"wmd2b-004","","2616","Apple","C02MC1Z1FD58","Chicago","","","275552","2016-01-11 10:05:04",""
"wm16d-db6","","2704","Apple","C02MC1VYFD58","Chicago","","","275442","2016-01-11 10:05:04",""
"wm85d-376","","3639","Apple","C1MPD51XG944","Chicago","","","275426","2016-01-11 10:05:04",""
"wm8cf-05c","","3718","Apple","C1MQ64QJG944","Chicago","","","275466","2016-01-11 10:05:04",""
"wm20f-3d2","","3691","Apple","C02LD2GRF6T6","Chicago","","","275394","2016-01-11 10:05:04",""
"wmbf7-4c2","","3323","Apple","C02NQ12ZG5RP","Chicago","","","275434","2016-01-11 10:05:04",""
"wmc7b-184","","2511","Apple","C02M90P1FD59","Chicago","","","275418","2016-01-11 10:05:04",""
"wm6cc-dd8","","3659","Apple","C1MPX17CG944","Chicago","","","275578","2016-01-11 10:05:06",""
"gmbdb-12c","","2610","Apple","D25KF0WEDNMP","Chicago","","","275560","2016-01-11 10:05:06",""
"wm292-362","","2293","Apple","C02LG4KXF6T6","Chicago","","","275570","2016-01-11 10:05:06",""
"wm6b5-a46","","3569","Apple","C1MPW8VRG944","Chicago","","","275624","2016-01-11 10:05:32",""
"wm918-6c8","","2751","Apple","C02MD2G7F6T6","Chicago","","","275712","2016-01-11 10:05:33",""
"wm99f-a80","","2340","Apple","C02LM5Q7F6T6","Chicago","","","275758","2016-01-11 10:05:33",""
"wm8a7-6c2","","2698","Apple","C02M91SKF6T6","Chicago","","","275880","2016-01-11 10:05:33",""
"wmc17-682","","2471","Apple","C02M61AZFD58","Chicago","","","275656","2016-01-11 10:05:33",""
"wm15e-678","","2182","Apple","C02L87CTF6T6","Chicago","","","275788","2016-01-11 10:05:33",""
"gm4cd-25b","","2261","Apple","D25J71BFDHJW","Chicago","","","275910","2016-01-11 10:05:33",""
"wmb8e-348","","2812","Apple","C02MF2EYFD58","Chicago","","","275810","2016-01-11 10:05:33",""
"WM61C-696","","2170","Apple","C02L4AH9F6T6","Chicago","","","275834","2016-01-11 10:05:33",""
"wm9cb-950","","3277","Apple","C02NJ1SPG3QP","Chicago","","","275728","2016-01-11 10:05:33",""
"wmd91-3a8","","2969","Apple","C02MR22EFD58","Chicago","","","275720","2016-01-11 10:05:33",""
"wmc14-162","","2539","Apple","C02M635HFD59","Chicago","","","275608","2016-01-11 10:05:34",""
"wm90b-3d1","","3876","Apple","C02QX08YFVH8","Chicago","","","275672","2016-01-11 10:05:34",""
"wm929-6c6","","3191","Apple","C02NFE2XG3QC","Chicago","","","275750","2016-01-11 10:05:34",""
"wm0ea-92d","","3615","Apple","C02Q2091G8WM","Chicago","","","275780","2016-01-11 10:05:34",""
"wmc96-342","","3366","Apple","C02P590JG3QC","Chicago","","","275704","2016-01-11 10:05:34",""
"GM1CA-C65","","2550","Apple","D25HN0Y7DHJW","Chicago","","","275648","2016-01-11 10:05:34",""
"wm1b0-8ab","","3397","Apple","C02KM12TFFT3","Chicago","","","275872","2016-01-11 10:05:34",""
"gm051-c7f","","1156","Apple","C02FD68NDF91","Chicago","","","275586","2016-01-11 10:05:34",""
"wmf22-034","","2709","Apple","C02M91RQF6T6","Chicago","","","275864","2016-01-11 10:05:34",""
"wmc03-d28","","2628","Apple","C02M83B8FD59","Chicago","","","275902","2016-01-11 10:05:34",""
"gm853-ca1","","2394","Apple","C02LD23JF1G3","Chicago","","","275826","2016-01-11 10:05:34",""
"wmbf0-d25","","3865","Apple","C02QM1SEFVH8","Chicago","","","275664","2016-01-11 10:05:35",""
"wmbf0-022","","2708","Apple","C02MJ0E7FD59","Chicago","","","275856","2016-01-11 10:05:35",""
"gm24f-fd7","","3419","Apple","D25PM0CJF8J9","Chicago","","","275686","2016-01-11 10:05:35",""
"wm93b-ad8","","3185","Apple","C02NFE5QG3QC","Chicago","","","275742","2016-01-11 10:05:35",""
"wmbf8-764","","3327","Apple","C02NQ12WG5RP","Chicago","","","275802","2016-01-11 10:05:35",""
"wmcff-24a","","3423","Apple","C02P92SDG3QC","Chicago","","","275696","2016-01-11 10:05:35",""
"wm0e9-d41","","3667","Apple","C02Q202BG8WL","Chicago","","","275848","2016-01-11 10:05:35",""
"gmcae-9b6","","2052","Apple","C02KM1R8F1G3","Chicago","","","275894","2016-01-11 10:05:35",""
"wmc00-95e","","3297","Apple","C02NX41WG3QC","Chicago","","","275640","2016-01-11 10:05:35",""
"wmc04-a6e","","2479","Apple","C02M61AYFD58","Chicago","","","275600","2016-01-11 10:05:35",""
"wmb8e-33a","","2807","Apple","C02MF2HCFD58","Chicago","","","275818","2016-01-11 10:05:35",""
"wm423-2c6","","2355","Apple","C02LP2UAFD59","Chicago","","","275766","2016-01-11 10:05:36",""
"wm204-395","","2271","Apple","C02L21YVFFT3","Chicago","","","275774","2016-01-11 10:05:36",""
"wmc9f-5b2","","2878","Apple","C02MM2A6FD58","Chicago","","","275592","2016-01-11 10:05:36",""
"cm051-f55","","1159","Apple","C02FD4B2DF91","Chicago","","","275616","2016-01-11 10:05:36",""
"wm50f-7a3","","2066","Apple","C02KG0HTDRVG","Chicago","","","275736","2016-01-11 10:05:36",""
"wm16a-6b9","","2054","Apple","C02KF180FFT3","Chicago","","","275888","2016-01-11 10:05:36",""
"wm163-ee0","","2255","Apple","C02L88CUF6T6","Chicago","","","275680","2016-01-11 10:05:36",""
"wm6ba-180","","3668","Apple","C1MPX099G944","Chicago","","","275794","2016-01-11 10:05:36",""
"wm64e-45c","","2821","Apple","C02L42QKF6T6","Chicago","","","275840","2016-01-11 10:05:36",""
"WM161-7D9","","2244","Apple","C02L80SGFFT3","Chicago","","","275632","2016-01-11 10:05:36",""
"wme18-330","","3076","Apple","C02MX1JFFD59","Chicago","","","276094","2016-01-11 10:06:01",""
"wm9a0-eca","","2356","Apple","C02LM5QCF6T6","Chicago","","","276102","2016-01-11 10:06:01",""
"wmd1a-e64","","3430","Apple","C02P93VJG3QC","Chicago","","","276148","2016-01-11 10:06:02",""
"WM81F-A3F","","3682","Apple","C02Q63ZMG8WM","Chicago","","","275924","2016-01-11 10:06:02",""
"wmdcc-86a","","3036","Apple","C02MV0CWFT4P","Chicago","","","276180","2016-01-11 10:06:02",""
"wmbf9-378","","3287","Apple","C02NQ12KG5RP","Chicago","","","276230","2016-01-11 10:06:02",""
"Mesirov Home","","3308","Apple","D25P505VF8J9","Chicago","","","276220","2016-01-11 10:06:02",""
"wm073-acb","","3592","Apple","C02PX37MG8WM","Chicago","","","276212","2016-01-11 10:06:02",""
"gmcef-6c2","","2180","Apple","C02KR24JF1G3","Chicago","","","275990","2016-01-11 10:06:02",""
"RM281-5E6","","2609","Apple","D25JN023DHJW","Chicago","","","276022","2016-01-11 10:06:02",""
"wm99f-0b4","","2397","Apple","C02LM4XRF6T6","Chicago","","","276062","2016-01-11 10:06:02",""
"wmecc-493","","3737","Apple","C02PR227G8WL","Chicago","","","275982","2016-01-11 10:06:02",""
"wmf3e-823","","3510","Apple","C02PW118G8WM","Chicago","","","275948","2016-01-11 10:06:02",""
"wm1b7-4d4","","3263","Apple","C02N80BEG3QC","Chicago","","","276014","2016-01-11 10:06:02",""
"wm97b-950","","2792","Apple","C02MD2X5F6T6","Chicago","","","276054","2016-01-11 10:06:02",""
"bm847-bed","","2357","Apple","C02LD23EF1G3","Chicago","","","276030","2016-01-11 10:06:02",""
"wm8cf-25c","","3441","Apple","C02PG8KNG3QC","Chicago","","","276140","2016-01-11 10:06:03",""
"wmba8-966","","3282","Apple","C02NP6HUG3QC","Chicago","","","276006","2016-01-11 10:06:03",""
"gm231-996","","1353","Apple","C02GD06CDRJM","Chicago","","","276078","2016-01-11 10:06:03",""
"wma6b-439","","3018","Apple","C02HN031DRHF","Chicago","","","275918","2016-01-11 10:06:03",""
"gm1e4-a3d","","1359","Apple","D25FV10MDHJW","Chicago","","","276116","2016-01-11 10:06:03",""
"gm7ea-879","","2325","Apple","C02L52FWF1G3","Chicago","","","276086","2016-01-11 10:06:03",""
"wm1e1-0fe","","3265","Apple","C02NF5KTG5RP","Chicago","","","275940","2016-01-11 10:06:03",""
"wme09-bf9","","3759","Apple","C02LH0X5FFRR","Chicago","","","276204","2016-01-11 10:06:03",""
"wm458-518","","2352","Apple","C02LN02XFD58","Chicago","","","276046","2016-01-11 10:06:03",""
"wmde9-9e2","","3003","Apple","C02MW1JYFD58","Chicago","","","276172","2016-01-11 10:06:03",""
"GM1CA-959","","1364","Apple","C02GF31XDRJL","Chicago","","","276124","2016-01-11 10:06:03",""
"wmbe8-22e","","3290","Apple","C02NQ19JG5RP","Chicago","","","276196","2016-01-11 10:06:03",""
"wm897-fe0","","3007","Apple","C02LG53FF6T6","Chicago","","","276164","2016-01-11 10:06:03",""
"wmdae-b63","","3156","Apple","C02N25LGG5RP","Chicago","","","275998","2016-01-11 10:06:04",""
"gm7e5-650","","2342","Apple","C02L73B9F1G3","Chicago","","","276132","2016-01-11 10:06:04",""
"gm7ea-7c0","","2343","Apple","C02L52G8F1G3","Chicago","","","275932","2016-01-11 10:06:04",""
"wm8d4-04e","","3464","Apple","C02PG7R4G3QC","Chicago","","","275974","2016-01-11 10:06:04",""
"wmba7-714","","3349","Apple","C02NP6MTG3QC","Chicago","","","276188","2016-01-11 10:06:04",""
"wmc3d-736","","3347","Apple","C02P58ETG3QC","Chicago","","","276070","2016-01-11 10:06:04",""
"wm0e3-5f2","","3194","Apple","C02N77ZXG5RP","Chicago","","","276038","2016-01-11 10:06:04",""
"gm0ce-523","","3721","Apple","C02QF00DFY6F","Chicago","","","275956","2016-01-11 10:06:04",""
"wm85b-f04","","3497","Apple","C1MPD528G944","Chicago","","","275966","2016-01-11 10:06:04",""
"wm075-0e7","","3544","Apple","C02PX3E0G8WM","Chicago","","","276156","2016-01-11 10:06:04",""
"gm4de-d7f","","1356","Apple","D25GC07YDHJW","Chicago","","","276108","2016-01-11 10:06:04",""
"wme81-c47","","3223","Apple","C02J30T5DRVG","Chicago","","","276284","2016-01-11 10:06:09",""
"wmca0-d1c","","2877","Apple","C02MM2AHFD58","Chicago","","","276276","2016-01-11 10:06:09",""
"wm4fd-703","","2050","Apple","C02KG036DRVG","Chicago","","","276270","2016-01-11 10:06:09",""
"wmd2b-dec","","2973","Apple","C02MC1VVFD58","Chicago","","","276262","2016-01-11 10:06:09",""
"wm707-e06","","3272","Apple","C02P5057G5RL","Chicago","","","276238","2016-01-11 10:06:09",""
"wmbaa-016","","3286","Apple","C02NP6H1G3QC","Chicago","","","276246","2016-01-11 10:06:09",""
"wmb62-0b3","","2997","Apple","C02MM98QF6T6","Chicago","","","276254","2016-01-11 10:06:09",""
"gm54a-a7f","","1414","Apple","C02GT08QDV17","Chicago","","","276292","2016-01-11 10:06:11",""
"wm073-10d","","3608","Apple","C02PW22RG8WL","Chicago","","","276300","2016-01-11 10:06:11",""
"gmb0d-73a","","2593","Apple","D25KD5NGDNMP","Chicago","","","276308","2016-01-11 10:06:11",""
"wm054-5b8","","1423","Apple","C02GT1Z6DJWR","Chicago","","","276318","2016-01-11 10:06:16",""
"wmd2b-72a","","2701","Apple","C02MC1W3FD58","Chicago","","","276332","2016-01-11 10:06:16",""
"wmdca-a95","","2377","Apple","C02L51GAFFRR","Chicago","","","276340","2016-01-11 10:06:16",""
"wmdae-b5d","","3350","Apple","C02N25LTG5RP","Chicago","","","276324","2016-01-11 10:06:16",""
"wmc45-fb1","","2892","Apple","C02MW193F5YW","Chicago","","","276354","2016-01-11 10:06:16",""
"wma98-69a","","2443","Apple","C02LQ7A9F6T6","Chicago","","","276346","2016-01-11 10:06:16",""
"wm0c7-ece","","1443","Apple","C02GX0SJDJWR","Chicago","","","276376","2016-01-11 10:06:21",""
"wm7e1-5ed","","3525","Apple","C1MPH6JWG944","Chicago","","","276384","2016-01-11 10:06:21",""
"wm152-d34","","1446","Apple","C02GY0P9DJY9","Chicago","","","276392","2016-01-11 10:06:21",""
"wm197-e31","","3042","Apple","C02L21GGFFT3","Chicago","","","276370","2016-01-11 10:06:21",""
"gm4d7-85b","","1448","Apple","D25GC0CLDHJW","Chicago","","","276398","2016-01-11 10:06:21",""
"gmd0b-ae2","","2896","Apple","W894807V5RU","Chicago","","","276362","2016-01-11 10:06:21",""
"wme06-8b1","","1654","Apple","C02HX3MBDRVG","Chicago","","","276642","2016-01-11 10:06:53",""
