sys_import_state,template_import_log,u_casper_id,u_computer_name,u_last_user,u_model,u_model_id,u_os_name,u_os_version,u_processor_count,u_processor_speed,u_serial_number,sys_updated_on,sys_transform_map
Inserted,,"1,446",wm152-d34,lijun,MacBook Air (11-inch Mid 2011),"MacBookAir4,1",Mac OS X,10.9.5,2,"1,800",C02GY0P9DJY9,1/11/16 10:06,ITAM - Casper Computer
Inserted,,"1,448",gm4d7-85b,schreiber,"iMac Intel (27-inch, Mid 2011)","iMac12,2",Mac OS X,10.10.5,4,"3,400",D25GC0CLDHJW,1/11/16 10:06,ITAM - Casper Computer
Inserted,,"1,452",gm65b-e70,bhill,Mac mini (Mid 2011),"Macmini5,2",Mac OS X,10.9.5,2,"2,700",C07H10U0DJD3,1/11/16 10:06,ITAM - Casper Computer
Inserted,,"1,489",wm831-8DE,aregev,MacBook Air (13-inch Mid 2011),"MacBookAir4,2",Mac OS X,10.9.5,2,"1,800",C02H60USDJWR,1/11/16 10:06,ITAM - Casper Computer
Inserted,,"1,530",cm0eb-d4b,tsharpe,"iMac Intel (27-inch, Mid 2011)","iMac12,2",Mac OS X,10.9.5,4,"3,400",D25GH1C8DHJW,1/11/16 10:06,ITAM - Casper Computer
Inserted,,"1,557",wm835-07c,cuomo,MacBook Air (13-inch Mid 2011),"MacBookAir4,2",Mac OS X,10.10.5,2,"1,800",C02H611HDJWR,1/11/16 10:06,ITAM - Casper Computer
Inserted,,"1,574",GM28F-571,pcarr,15-inch MacBook Pro (2011),"MacBookPro8,2",Mac OS X,10.9.5,4,"2,500",C02HM0BJDV7P,1/11/16 10:07,ITAM - Casper Computer
Inserted,,"1,582",wm833-004,tracey,MacBook Air (11-inch Mid 2011),"MacBookAir4,1",Mac OS X,10.9.5,2,"1,800",C02H60F8DJY9,1/11/16 10:07,ITAM - Casper Computer
Inserted,,"1,589",lmb7d-ec2,leffler,MacBook Pro (Mid 2009),"MacBookPro5,3",Mac OS X,10.10.5,2,"2,660",W89431NH64B,1/11/16 10:07,ITAM - Casper Computer
Inserted,,"1,593",gm077-413,jjenny,"iMac Intel (27-inch, Mid 2011)","iMac12,2",Mac OS X,10.9.5,4,"3,400",D25HF0WXDHJW,1/11/16 10:07,ITAM - Casper Computer
Inserted,,"1,607",gm30d-028,fneville,17-inch MacBook Pro (2011),"MacBookPro8,3",Mac OS X,10.10.5,4,"2,400",C02HR0HFDV10,1/11/16 10:07,ITAM - Casper Computer
Inserted,,"1,622",gm1c9-9e7,celi,"iMac Intel (27-inch, Mid 2011)","iMac12,2",Mac OS X,10.9.5,4,"3,100",D25FV0Z1DHJW,1/11/16 10:07,ITAM - Casper Computer
Inserted,,"1,626",BM1B4-8BF,travis,15-inch MacBook Pro (2011),"MacBookPro8,2",Mac OS X,10.9.5,4,"2,200",C02H3242DV7N,1/11/16 10:07,ITAM - Casper Computer
Inserted,,"1,639",gm7b0-061,stevehy,"iMac Intel (27-inch, Mid 2011)","iMac12,2",Mac OS X,10.10.5,4,"3,100",D25HC1BNDHJW,1/11/16 10:07,ITAM - Casper Computer
Inserted,,"1,641",wma6b-769,onofrio,MacBook Air (13-inch Mid 2011),"MacBookAir4,2",Mac OS X,10.9.5,2,"1,800",C02HQ1H7DJWR,1/11/16 10:07,ITAM - Casper Computer
Inserted,,"1,654",wme06-8b1,jadwiga,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.9.5,2,"1,800",C02HX3MBDRVG,1/11/16 10:06,ITAM - Casper Computer
Inserted,,"1,657",wme8a-603,bwong,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.10.5,2,"2,000",C02J24S8DRVG,1/11/16 10:07,ITAM - Casper Computer
Inserted,,"1,664",wmdbb-fdb,ghoshs,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.9.5,2,"1,800",C02J114FDRVG,1/11/16 10:07,ITAM - Casper Computer
Inserted,,"1,672",GM35B-0BD,shalek,"iMac Intel (27-inch, Mid 2011)","iMac12,2",Mac OS X,10.9.5,4,"3,400",D25G71X7DHJW,1/11/16 10:07,ITAM - Casper Computer
Inserted,,"1,673",wme43-2b5,pyzocha,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.9.5,2,"1,800",C02J21BLDRVG,1/11/16 10:07,ITAM - Casper Computer
Inserted,,"1,674",BM310-AB6,pmorais,15-inch MacBook Pro (2011),"MacBookPro8,2",Mac OS X,10.10.5,4,"2,200",C02HQ18ZDV7N,1/11/16 10:07,ITAM - Casper Computer
Inserted,,"1,675",wme1b-cc3,chad,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.9.5,2,"2,000",C02J21N3DRVG,1/11/16 10:07,ITAM - Casper Computer
Inserted,,"1,688",wm832-9ca,qyu,MacBook Air (11-inch Mid 2011),"MacBookAir4,1",Mac OS X,10.10.5,2,"1,800",C02H60F2DJY9,1/11/16 10:07,ITAM - Casper Computer
Inserted,,"1,691",GM494-A00,vazquez,15-inch MacBook Pro (Mid 2012),"MacBookPro9,1",Mac OS X,10.9.5,4,"2,300",C02J10AEF1G3,1/11/16 10:07,ITAM - Casper Computer
Inserted,,"1,696",gm50c-ed8,joelh,"iMac Intel (27-inch, Mid 2011)","iMac12,2",Mac OS X,10.9.5,4,"3,100",D25GJ0NLDHJW,1/11/16 10:07,ITAM - Casper Computer
Inserted,,"1,715",wm497-6cb,nhacohen,15-inch Retina MacBook Pro (Mid 2012),"MacBookPro10,1",Mac OS X,10.9.5,4,"2,700",C02J76P2DKQ5,1/11/16 10:04,ITAM - Casper Computer
Inserted,,"1,719",wm19d-4a1,marcin,15-inch Retina MacBook Pro (Mid 2012),"MacBookPro10,1",Mac OS X,10.9.5,4,"2,600",C02J6A2ZDKQ5,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,722",wm47a-20b,ebanks,15-inch Retina MacBook Pro (Mid 2012),"MacBookPro10,1",Mac OS X,10.9.5,4,"2,600",C02J6A34DKQ5,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,729",gm56b-00e,moran,"iMac Intel (27-inch, Mid 2010)","iMac11,3",Mac OS X,10.10.5,4,"2,930",QP104111DNR,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,733",wm832-4c8,vineeta,MacBook Air (11-inch Mid 2011),"MacBookAir4,1",Mac OS X,10.9.5,2,"1,800",C02H60F5DJY9,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,736",wm47b-1df,kryukov,15-inch Retina MacBook Pro (Mid 2012),"MacBookPro10,1",Mac OS X,10.9.5,4,"2,600",C02J6A33DKQ5,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,745",wmcde-2e1,atsankov,15-inch Retina MacBook Pro (Mid 2012),"MacBookPro10,1",Mac OS X,10.9.5,4,"2,600",C02J86SEDKQ5,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,755",wme52-0eb,vrusu,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.9.5,2,"1,800",C02J26KBDRVG,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,780",wmce6-12d,ktibbett,15-inch Retina MacBook Pro (Mid 2012),"MacBookPro10,1",Mac OS X,10.9.5,4,"2,600",C02J88EJDKQ5,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,794",wmc49-0ff,dooley,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.9.5,2,"2,000",C02JD2TADRVG,1/11/16 10:03,ITAM - Casper Computer
Inserted,,"1,803",wmf2f-e43,posthuma,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.9.5,2,"2,000",C02JK1QNDRVG,1/11/16 10:07,ITAM - Casper Computer
Inserted,,"1,811",wmf2f-003,mbaco,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.10.5,2,"2,000",C02JK1LNDRVG,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,813",wmce6-e31,droazen,15-inch Retina MacBook Pro (Mid 2012),"MacBookPro10,1",Mac OS X,10.9.5,4,"2,600",C02J88RDDKQ5,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,820",wm49c-60f,dryan,15-inch Retina MacBook Pro (Mid 2012),"MacBookPro10,1",Mac OS X,10.10.5,4,"2,600",C02J88REDKQ5,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,822",wm7eb-263,narayan,13-inch Retina MacBook Pro (Late 2012),"MacBookPro10,2",Mac OS X,10.9.5,2,"2,900",C02JN101DR56,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,826",wmedb-fe2,namrata,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.9.5,2,"2,000",C02JL1PEDRVG,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,827",gm1e1-4f5,patricia,"iMac Intel (27-inch, Mid 2011)","iMac12,2",Mac OS X,10.9.5,4,"3,100",D25G91S1DHJW,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,835",wm89f-fc1,feiran,13-inch Retina MacBook Pro (Late 2012),"MacBookPro10,2",Mac OS X,10.10.5,2,"2,900",C02JN102DR56,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,841",wmafd-fbd,dawnt,MacBook Air (11-inch Mid 2011),"MacBookAir4,1",Mac OS X,10.9.5,2,"1,800",C02HQ0HXDJY9,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,842",wmeda-dd4,maiorano,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.10.5,2,"2,000",C02JL1PBDRVG,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,848",wmce6-9f9,ami,15-inch Retina MacBook Pro (Mid 2012),"MacBookPro10,1",Mac OS X,10.9.5,4,"2,600",C02J88UADKQ5,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,860",wmcf0-259,jowalsh,15-inch Retina MacBook Pro (Mid 2012),"MacBookPro10,1",Mac OS X,10.9.5,4,"2,600",C02JC2K3DKQ5,1/11/16 10:04,ITAM - Casper Computer
Inserted,,"1,865",bm22a-251,laurenm,15-inch MacBook Pro (Mid 2012),"MacBookPro9,1",Mac OS X,10.10.5,4,"2,300",C02JF203F1G3,1/11/16 10:04,ITAM - Casper Computer
Inserted,,"1,867",wmcf0-08b,pmontgom,15-inch Retina MacBook Pro (Mid 2012),"MacBookPro10,1",Mac OS X,10.9.5,4,"2,600",C02JC2VLDKQ5,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,875",GM3BA-539,wiltrout,15-inch MacBook Pro (Mid 2012),"MacBookPro9,1",Mac OS X,10.9.5,4,"2,300",C02JM1DWF1G3,1/11/16 10:03,ITAM - Casper Computer
Inserted,,"1,884",wmd3c-7fd,mcovarr,15-inch Retina MacBook Pro (Mid 2012),"MacBookPro10,1",Mac OS X,10.10.5,4,"2,600",C02JJ08TDKQ5,1/11/16 10:03,ITAM - Casper Computer
Inserted,,"1,888",wm89c-62f,sdodge,13-inch Retina MacBook Pro (Late 2012),"MacBookPro10,2",Mac OS X,10.9.5,2,"2,900",C02JN103DR56,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,889",wm467-210,takeda,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.10.5,2,"2,000",C02JN1GUDRVG,1/11/16 10:07,ITAM - Casper Computer
Inserted,,"1,898",GMBC4-BC9,narayan,MacPro (Mid 2010),"MacPro5,1",Mac OS X,10.9.5,6,"3,330",C07JV0LKF4MG,1/11/16 10:06,ITAM - Casper Computer
Inserted,,"1,899",wme13-1c9,dpark,15-inch Retina MacBook Pro (Mid 2012),"MacBookPro10,1",Mac OS X,10.9.5,4,"2,700",C02K21Y9DKQ4,1/11/16 10:03,ITAM - Casper Computer
Inserted,,"1,900",cm4df-c73,obirsoy,"iMac Intel (27-inch, Mid 2011)","iMac12,2",Mac OS X,10.9.5,4,"3,100",D25G91S2DHJW,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,905",wm466-7a8,lwood,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.9.5,2,"2,000",C02JN2D1DRVG,1/11/16 10:03,ITAM - Casper Computer
Inserted,,"1,912",wm4a7-ea2,rlincoln,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.10.4,2,"2,000",C02JR2SYDRVG,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,916",cm478-801,alyssar,13-inch MacBook Pro (Mid 2012),"MacBookPro9,2",Mac OS X,10.10.5,2,"2,900",C02JV0DRDTY4,1/11/16 10:04,ITAM - Casper Computer
Inserted,,"1,917",wm471-6f4,yashaswi,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.9.5,2,"2,000",C02JN2JSDRVG,1/11/16 10:04,ITAM - Casper Computer
Inserted,,"1,919",wm069-1a2,xinlihu,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.9.5,2,"2,000",C02K709RDRVG,1/11/16 10:03,ITAM - Casper Computer
Inserted,,"1,920",wm06d-00a,cterao,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.9.5,2,"2,000",C02K62U9DRVG,1/11/16 10:03,ITAM - Casper Computer
Inserted,,"1,921",wmcd1-beb,soumya,13-inch Retina MacBook Pro (Late 2012),"MacBookPro10,2",Mac OS X,10.10.5,2,"3,000",C02K702RFFRR,1/11/16 10:07,ITAM - Casper Computer
Inserted,,"1,922",wm4a8-04e,joanab,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.9.5,2,"2,000",C02JR2SXDRVG,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,930",wme1d-445,michaelr,15-inch Retina MacBook Pro (Mid 2012),"MacBookPro10,1",Mac OS X,10.9.5,4,"2,600",C02JW0N7DKQ5,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,931",wm012-eb4,lwetmore,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.9.5,2,"2,000",C02K50GKDRVG,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,933",gm693-562,emgarcia,"iMac Intel (27-inch, Mid 2011)","iMac12,2",Mac OS X,10.10.5,4,"3,100",D25H2130DHJW,1/11/16 10:03,ITAM - Casper Computer
Inserted,,"1,949",gm10d-ad5,dalan,"iMac Intel (27-inch, Mid 2011)","iMac12,2",Mac OS X,10.9.5,4,"3,400",D25JD0LYDHJW,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,953",wmd14-789,nazaire,13-inch Retina MacBook Pro (Late 2012),"MacBookPro10,2",Mac OS X,10.9.5,2,"3,000",C02KD0W2FFRR,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,960",gma6e-414,estefan,15-inch MacBook Pro (Mid 2012),"MacBookPro9,1",Mac OS X,10.9.5,4,"2,300",C02K50T5F1G3,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,962",wme14-5ad,xmu,15-inch Retina MacBook Pro (Mid 2012),"MacBookPro10,1",Mac OS X,10.9.5,4,"2,700",C02K21Y6DKQ4,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,963",gm1ca-843,kraasch,15-inch MacBook Pro (2011),"MacBookPro8,2",Mac OS X,10.10.5,4,"2,000",C02GF31UDRJL,1/11/16 10:08,ITAM - Casper Computer
Inserted,,"1,970",gma73-db0,leahach,15-inch MacBook Pro (Mid 2012),"MacBookPro9,1",Mac OS X,10.9.5,4,"2,300",C02K50T7F1G3,1/11/16 10:09,ITAM - Casper Computer
Inserted,,"1,971",wm030-a0c,carrie,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.9.5,2,"2,000",C02K430EDRVG,1/11/16 10:09,ITAM - Casper Computer
Inserted,,"1,975",wm012-83a,josephr,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.9.5,2,"2,000",C02K50GLDRVG,1/11/16 10:09,ITAM - Casper Computer
Inserted,,"1,982",BM56D-561,thowd,15-inch MacBook Pro (Mid 2012),"MacBookPro9,1",Mac OS X,10.9.5,4,"2,300",C02K106FF1G3,1/11/16 10:09,ITAM - Casper Computer
Inserted,,"1,991",wm12e-317,valentin,15-inch Retina MacBook Pro (Mid 2012),"MacBookPro10,1",Mac OS X,10.9.5,4,"2,800",C02K70MSFFT3,1/11/16 10:09,ITAM - Casper Computer
Inserted,,"1,992",wm147-357,ggrant,15-inch Retina MacBook Pro (Mid 2012),"MacBookPro10,1",Mac OS X,10.9.5,4,"2,700",C02KC1P8FFT3,1/11/16 10:07,ITAM - Casper Computer
Inserted,,"1,994",wm12e-71b,jgould,15-inch Retina MacBook Pro (Mid 2012),"MacBookPro10,1",Mac OS X,10.10.5,4,"2,800",C02K70MTFFT3,1/11/16 10:04,ITAM - Casper Computer
Inserted,,"1,995",wm12e-227,liefeld,15-inch Retina MacBook Pro (Mid 2012),"MacBookPro10,1",Mac OS X,10.10.5,4,"2,800",C02K70MRFFT3,1/11/16 10:04,ITAM - Casper Computer
Inserted,,"1,996",wmf73-635,clary,MacBook Air (11-inch Mid 2012),"MacBookAir5,1",Mac OS X,10.10.5,2,"2,000",C02J91CYDRV9,1/11/16 10:04,ITAM - Casper Computer
Inserted,,"2,001",wmd45-5b7,desmet,13-inch Retina MacBook Pro (Late 2012),"MacBookPro10,2",Mac OS X,10.10.5,2,"3,000",C02KL10UFFRR,1/11/16 10:09,ITAM - Casper Computer
Inserted,,"2,002",bm59a-111,aamin,15-inch MacBook Pro (Mid 2012),"MacBookPro9,1",Mac OS X,10.9.5,4,"2,300",C02K30PHF1G3,1/11/16 10:09,ITAM - Casper Computer
Inserted,,"2,003",gmb5b-a6b,mpop,15-inch MacBook Pro (Mid 2012),"MacBookPro9,1",Mac OS X,10.10.3,4,"2,300",C02K81DPF1G3,1/11/16 10:09,ITAM - Casper Computer
Inserted,,"2,007",wm47f-51b,wwinslow,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.10.5,2,"2,000",C02K81A9DRVG,1/11/16 10:09,ITAM - Casper Computer
Inserted,,"2,010",wm07e-9f8,mdasilva,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.9.5,2,"2,000",C02K81JXDRVG,1/11/16 10:09,ITAM - Casper Computer
Inserted,,"2,019",vma71-13d,abalboni,15-inch MacBook Pro (Mid 2012),"MacBookPro9,1",Mac OS X,10.9.5,4,"2,300",C02K71RNF1G3,1/11/16 10:09,ITAM - Casper Computer
Inserted,,"2,020",cm378-c00,cwalsh,15-inch MacBook Pro (Mid 2012),"MacBookPro9,1",Mac OS X,10.9.5,4,"2,300",C02JR0S6F1G3,1/11/16 10:09,ITAM - Casper Computer
Inserted,,"2,022",gma73-b41,juan,15-inch MacBook Pro (Mid 2012),"MacBookPro9,1",Mac OS X,10.10.5,4,"2,300",C02K50T9F1G3,1/11/16 10:09,ITAM - Casper Computer
Inserted,,"2,028",gmb59-8fb,kmegq,15-inch MacBook Pro (Mid 2012),"MacBookPro9,1",Mac OS X,10.9.5,4,"2,300",C02K81DLF1G3,1/11/16 10:10,ITAM - Casper Computer
Inserted,,"2,030",wm147-367,hasmik,15-inch Retina MacBook Pro (Mid 2012),"MacBookPro10,1",Mac OS X,10.10.5,4,"2,700",C02KC1P9FFT3,1/11/16 10:10,ITAM - Casper Computer
Inserted,,"2,036",wm07f-2d4,agalaviz,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.10.5,2,"2,000",C02K81JYDRVG,1/11/16 10:10,ITAM - Casper Computer
Inserted,,"2,050",wm4fd-703,nyozwiak,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.9.5,2,"2,000",C02KG036DRVG,1/11/16 10:06,ITAM - Casper Computer
Inserted,,"2,052",gmcae-9b6,sora,15-inch MacBook Pro (Mid 2012),"MacBookPro9,1",Mac OS X,10.9.5,4,"2,300",C02KM1R8F1G3,1/11/16 10:05,ITAM - Casper Computer
Inserted,,"2,054",wm16a-6b9,riesen,15-inch Retina MacBook Pro (Mid 2012),"MacBookPro10,1",Mac OS X,10.9.5,4,"2,700",C02KF180FFT3,1/11/16 10:05,ITAM - Casper Computer
Inserted,,"2,055",wm4f6-b05,aforte,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.10.5,2,"2,000",C02KG0C5DRVG,1/11/16 10:10,ITAM - Casper Computer
Inserted,,"2,057",wm50f-14f,jpresley,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.10.5,2,"2,000",C02KG0HUDRVG,1/11/16 10:10,ITAM - Casper Computer
Inserted,,"2,066",wm50f-7a3,jcho,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.9.5,2,"2,000",C02KG0HTDRVG,1/11/16 10:05,ITAM - Casper Computer
Inserted,,"2,070",wm4a9-4ea,sadiya,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Mac OS X,10.9.5,2,"2,000",C02JR2SVDRVG,1/11/16 10:03,ITAM - Casper Computer
Inserted,,"2,081",gmd1c-050,maryc,15-inch MacBook Pro (Mid 2012),"MacBookPro9,1",Mac OS X,10.9.5,4,"2,300",C02KR24HF1G3,1/11/16 10:10,ITAM - Casper Computer
Inserted,,"2,082",WM16A-663,helga,15-inch Retina MacBook Pro (Mid 2012),"MacBookPro10,1",Mac OS X,10.9.5,4,"2,700",C02KF17ZFFT3,1/11/16 10:10,ITAM - Casper Computer
Inserted,,"2,086",wm56c-e84,jongw,MacBook Air (13-inch Mid 2013),"MacBookAir6,2",Mac OS X,10.10.5,2,"1,700",C02KX63ZF6T6,1/11/16 10:10,ITAM - Casper Computer
Inserted,,"2,090",bmdba-f69,gshankar,15-inch MacBook Pro (Mid 2012),"MacBookPro9,1",Mac OS X,10.9.5,4,"2,300",C02KV0G0F1G3,1/11/16 10:06,ITAM - Casper Computer
Inserted,,"2,092",wm1b0-a05,mgupta,15-inch Retina MacBook Pro (Mid 2012),"MacBookPro10,1",Mac OS X,10.9.5,4,"2,700",C02KM12UFFT3,1/11/16 10:10,ITAM - Casper Computer
Inserted,,"2,102",wm546-47a,atsede,MacBook Air (13-inch Mid 2013),"MacBookAir6,2",Mac OS X,10.9.5,2,"1,700",C02KX29BF6T6,1/11/16 10:04,ITAM - Casper Computer
Inserted,,"2,106",wm5ca-89c,jdcamp,MacBook Air (13-inch Mid 2013),"MacBookAir6,2",Mac OS X,10.9.5,2,"1,700",C02L23ZWF6T6,1/11/16 10:10,ITAM - Casper Computer
Inserted,,"2,111",GMDB9-58D,msullend,15-inch MacBook Pro (Mid 2012),"MacBookPro9,1",Mac OS X,10.9.5,4,"2,300",C02KV0G3F1G3,1/11/16 10:10,ITAM - Casper Computer
Inserted,,"2,112",wm5c7-424,krahman,MacBook Air (13-inch Mid 2013),"MacBookAir6,2",Mac OS X,10.10.5,2,"1,700",C02L24E9F6T6,1/11/16 10:10,ITAM - Casper Computer
Inserted,,"2,114",wm207-4ab,jrosains,15-inch Retina MacBook Pro (Mid 2012),"MacBookPro10,1",Mac OS X,10.10.5,4,"2,700",C02L21GHFFT3,1/11/16 10:10,ITAM - Casper Computer
Inserted,,"2,116",bmd62-b80,rachupka,15-inch MacBook Pro (Mid 2012),"MacBookPro9,1",Mac OS X,10.10.5,4,"2,300",C02L10C4F1G3,1/11/16 10:10,ITAM - Casper Computer
Inserted,,"2,128",wm653-c70,sekar,MacBook Air (13-inch Mid 2013),"MacBookAir6,2",Mac OS X,10.9.5,2,"1,700",C02L469EF6T6,1/11/16 10:10,ITAM - Casper Computer
