name,assigned_to,u_casper_id,u_casper_id,manufacturer,serial_number,u_serial_number,location,u_mac_address,u_filemaker_id,sys_updated_on,disk_space
wmcf0-08b,,1867,"1,867",Apple,C02JC2VLDKQ5,C02JC2VLDKQ5,,,277852,1/11/16 10:12,
GM3BA-539,,1875,"1,875",Apple,C02JM1DWF1G3,C02JM1DWF1G3,,,274424,1/11/16 10:03,
wmd3c-7fd,,1884,"1,884",Apple,C02JJ08TDKQ5,C02JJ08TDKQ5,,,274410,1/11/16 10:03,
wm89c-62f,,1888,"1,888",Apple,C02JN103DR56,C02JN103DR56,,,277864,1/11/16 10:11,
wm467-210,,1889,"1,889",Apple,C02JN1GUDRVG,C02JN1GUDRVG,,,277312,1/11/16 10:12,
GMBC4-BC9,,1898,"1,898",Apple,C07JV0LKF4MG,C07JV0LKF4MG,,,276768,1/11/16 10:06,
wme13-1c9,,1899,"1,899",Apple,C02K21Y9DKQ4,C02K21Y9DKQ4,,,274868,1/11/16 10:04,
cm4df-c73,,1900,"1,900",Apple,D25G91S2DHJW,D25G91S2DHJW,,,277760,1/11/16 10:12,
wm466-7a8,,1905,"1,905",Apple,C02JN2D1DRVG,C02JN2D1DRVG,,,274528,1/11/16 10:03,
wm4a7-ea2,,1912,"1,912",Apple,C02JR2SYDRVG,C02JR2SYDRVG,,,277892,1/11/16 10:12,
cm478-801,,1916,"1,916",Apple,C02JV0DRDTY4,C02JV0DRDTY4,,,275184,1/11/16 10:04,
wm471-6f4,,1917,"1,917",Apple,C02JN2JSDRVG,C02JN2JSDRVG,,,275026,1/11/16 10:04,
wm069-1a2,,1919,"1,919",Apple,C02K709RDRVG,C02K709RDRVG,,,274432,1/11/16 10:03,
wm06d-00a,,1920,"1,920",Apple,C02K62U9DRVG,C02K62U9DRVG,,,274860,1/11/16 10:04,
wmcd1-beb,,1921,"1,921",Apple,C02K702RFFRR,C02K702RFFRR,,,277078,1/11/16 10:07,
wm4a8-04e,,1922,"1,922",Apple,C02JR2SXDRVG,C02JR2SXDRVG,,,277900,1/11/16 10:12,
wme1d-445,,1930,"1,930",Apple,C02JW0N7DKQ5,C02JW0N7DKQ5,,,277886,1/11/16 10:12,
wm012-eb4,,1931,"1,931",Apple,C02K50GKDRVG,C02K50GKDRVG,,,277858,1/11/16 10:12,
gm693-562,,1933,"1,933",Apple,D25H2130DHJW,D25H2130DHJW,,,274402,1/11/16 10:03,
gm10d-ad5,,1949,"1,949",Apple,D25JD0LYDHJW,D25JD0LYDHJW,,,277992,1/11/16 10:12,
wmd14-789,,1953,"1,953",Apple,C02KD0W2FFRR,C02KD0W2FFRR,,,278020,1/11/16 10:11,
gma6e-414,,1960,"1,960",Apple,C02K50T5F1G3,C02K50T5F1G3,,,278042,1/11/16 10:12,
wme14-5ad,,1962,"1,962",Apple,C02K21Y6DKQ4,C02K21Y6DKQ4,,,278058,1/11/16 10:12,
gm1ca-843,,1963,"1,963",Apple,C02GF31UDRJL,C02GF31UDRJL,,,278064,1/11/16 10:12,
gma73-db0,,1970,"1,970",Apple,C02K50T7F1G3,C02K50T7F1G3,,,278102,1/11/16 10:12,
wm030-a0c,,1971,"1,971",Apple,C02K430EDRVG,C02K430EDRVG,,,278110,1/11/16 10:12,
wm012-83a,,1975,"1,975",Apple,C02K50GLDRVG,C02K50GLDRVG,,,278116,1/11/16 10:12,
BM56D-561,,1982,"1,982",Apple,C02K106FF1G3,C02K106FF1G3,,,278122,1/11/16 10:12,
wm12e-317,,1991,"1,991",Apple,C02K70MSFFT3,C02K70MSFFT3,,,278148,1/11/16 10:12,
wm147-357,,1992,"1,992",Apple,C02KC1P8FFT3,C02KC1P8FFT3,,,277320,1/11/16 10:12,
wm12e-71b,,1994,"1,994",Apple,C02K70MTFFT3,C02K70MTFFT3,,,274978,1/11/16 10:04,
wm12e-227,,1995,"1,995",Apple,C02K70MRFFT3,C02K70MRFFT3,,,274986,1/11/16 10:04,
wmf73-635,,1996,"1,996",Apple,C02J91CYDRV9,C02J91CYDRV9,,,275386,1/11/16 10:05,
wmd45-5b7,,2001,"2,001",Apple,C02KL10UFFRR,C02KL10UFFRR,,,278174,1/11/16 10:11,
bm59a-111,,2002,"2,002",Apple,C02K30PHF1G3,C02K30PHF1G3,,,278182,1/11/16 10:12,
gmb5b-a6b,,2003,"2,003",Apple,C02K81DPF1G3,C02K81DPF1G3,,,278190,1/11/16 10:12,
wm47f-51b,,2007,"2,007",Apple,C02K81A9DRVG,C02K81A9DRVG,,,278206,1/11/16 10:12,
wm07e-9f8,,2010,"2,010",Apple,C02K81JXDRVG,C02K81JXDRVG,,,278214,1/11/16 10:12,
vma71-13d,,2019,"2,019",Apple,C02K71RNF1G3,C02K71RNF1G3,,,278260,1/11/16 10:12,
cm378-c00,,2020,"2,020",Apple,C02JR0S6F1G3,C02JR0S6F1G3,,,278268,1/11/16 10:12,
gma73-b41,,2022,"2,022",Apple,C02K50T9F1G3,C02K50T9F1G3,,,278276,1/11/16 10:12,
gmb59-8fb,,2028,"2,028",Apple,C02K81DLF1G3,C02K81DLF1G3,,,278316,1/11/16 10:12,
wm147-367,,2030,"2,030",Apple,C02KC1P9FFT3,C02KC1P9FFT3,,,278324,1/11/16 10:12,
wm07f-2d4,,2036,"2,036",Apple,C02K81JYDRVG,C02K81JYDRVG,,,278364,1/11/16 10:12,
wm4fd-703,,2050,"2,050",Apple,C02KG036DRVG,C02KG036DRVG,,,276270,1/11/16 10:06,
gmcae-9b6,,2052,"2,052",Apple,C02KM1R8F1G3,C02KM1R8F1G3,,,275894,1/11/16 10:05,
wm16a-6b9,,2054,"2,054",Apple,C02KF180FFT3,C02KF180FFT3,,,275888,1/11/16 10:05,
wm4f6-b05,,2055,"2,055",Apple,C02KG0C5DRVG,C02KG0C5DRVG,,,278438,1/11/16 10:12,
wm50f-14f,,2057,"2,057",Apple,C02KG0HUDRVG,C02KG0HUDRVG,,,278406,1/11/16 10:12,
wm50f-7a3,,2066,"2,066",Apple,C02KG0HTDRVG,C02KG0HTDRVG,,,275736,1/11/16 10:05,
wm4a9-4ea,,2070,"2,070",Apple,C02JR2SVDRVG,C02JR2SVDRVG,,,274372,1/11/16 10:03,
gmd1c-050,,2081,"2,081",Apple,C02KR24HF1G3,C02KR24HF1G3,,,278468,1/11/16 10:12,
WM16A-663,,2082,"2,082",Apple,C02KF17ZFFT3,C02KF17ZFFT3,,,278462,1/11/16 10:12,
wm56c-e84,,2086,"2,086",Apple,C02KX63ZF6T6,C02KX63ZF6T6,,,278446,1/11/16 10:12,
bmdba-f69,,2090,"2,090",Apple,C02KV0G0F1G3,C02KV0G0F1G3,,,276544,1/11/16 10:06,
wm1b0-a05,,2092,"2,092",Apple,C02KM12UFFT3,C02KM12UFFT3,,,278556,1/11/16 10:12,
wm546-47a,,2102,"2,102",Apple,C02KX29BF6T6,C02KX29BF6T6,,,275032,1/11/16 10:04,
wm5ca-89c,,2106,"2,106",Apple,C02L23ZWF6T6,C02L23ZWF6T6,,,278380,1/11/16 10:12,
GMDB9-58D,,2111,"2,111",Apple,C02KV0G3F1G3,C02KV0G3F1G3,,,278586,1/11/16 10:12,
wm5c7-424,,2112,"2,112",Apple,C02L24E9F6T6,C02L24E9F6T6,,,278600,1/11/16 10:12,
wm207-4ab,,2114,"2,114",Apple,C02L21GHFFT3,C02L21GHFFT3,,,278608,1/11/16 10:12,
bmd62-b80,,2116,"2,116",Apple,C02L10C4F1G3,C02L10C4F1G3,,,278632,1/11/16 10:12,
wm653-c70,,2128,"2,128",Apple,C02L469EF6T6,C02L469EF6T6,,,278656,1/11/16 10:12,
wm60b-d32,,2130,"2,130",Apple,C02L2CEVF6T6,C02L2CEVF6T6,,,278080,1/11/16 10:12,
wm60b-cd2,,2132,"2,132",Apple,C02L2CEYF6T6,C02L2CEYF6T6,,,278532,1/11/16 10:12,
vmd1c-12b,,2133,"2,133",Apple,C02KR24NF1G3,C02KR24NF1G3,,,277344,1/11/16 10:12,
wm3ba-e84,,2139,"2,139",Apple,C02JW1ZUDRV9,C02JW1ZUDRV9,,,278578,1/11/16 10:12,
wm60b-cda,,2146,"2,146",Apple,C02L2CEXF6T6,C02L2CEXF6T6,,,277752,1/11/16 10:12,
WM47C-E35,,2152,"2,152",Apple,C02K81GDDRVG,C02K81GDDRVG,,,278400,1/11/16 10:12,
gm7ea-a3b,,2153,"2,153",Apple,C02L52FVF1G3,C02L52FVF1G3,,,278422,1/11/16 10:12,
wm652-37c,,2157,"2,157",Apple,C02L42QJF6T6,C02L42QJF6T6,,,278392,1/11/16 10:12,
wm651-b22,,2161,"2,161",Apple,C02L431CF6T6,C02L431CF6T6,,,278162,1/11/16 10:12,
wm47e-205,,2165,"2,165",Apple,C02J67SEDKQ5,C02J67SEDKQ5,,,274378,1/11/16 10:03,
WM61C-696,,2170,"2,170",Apple,C02L4AH9F6T6,C02L4AH9F6T6,,,275834,1/11/16 10:05,
wm215-981,,2178,"2,178",Apple,C02L31G5FFT3,C02L31G5FFT3,,,274900,1/11/16 10:04,
wm110-8c8,,2179,"2,179",Apple,C02L88CVF6T6,C02L88CVF6T6,,,275546,1/11/16 10:05,
gmcef-6c2,,2180,"2,180",Apple,C02KR24JF1G3,C02KR24JF1G3,,,275990,1/11/16 10:06,
WM215-97F,,2181,"2,181",Apple,C02L31G7FFT3,C02L31G7FFT3,,,274660,1/11/16 10:03,
wm15e-678,,2182,"2,182",Apple,C02L87CTF6T6,C02L87CTF6T6,,,275788,1/11/16 10:05,
gm1a0-054,,2184,"2,184",Apple,D25HK0EDDHJW,D25HK0EDDHJW,,,276664,1/11/16 10:06,
WM60E-226,,2185,"2,185",Apple,C02L4A1AF6T6,C02L4A1AF6T6,,,277484,1/11/16 10:12,
wm61a-14e,,2190,"2,190",Apple,C02L49EEF6T6,C02L49EEF6T6,,,278662,1/11/16 10:12,
WM66F-AE6,,2191,"2,191",Apple,C02L492PF6T6,C02L492PF6T6,,,278594,1/11/16 10:12,
cmf25-c5c,,2193,"2,193",Apple,C02L41XSF1G3,C02L41XSF1G3,,,278670,1/11/16 10:12,
wmd7a-0d9,,2201,"2,201",Apple,C02L10CZFFRR,C02L10CZFFRR,,,278678,1/11/16 10:11,
wm20d-6fc,,2223,"2,223",Apple,C02LD21TF6T6,C02LD21TF6T6,,,278702,1/11/16 10:12,
wm163-585,,2229,"2,229",Apple,C02L80SHFFT3,C02L80SHFFT3,,,278716,1/11/16 10:12,
gm3ab-c65,,2232,"2,232",Apple,C02FV17VDF8Y,C02FV17VDF8Y,,,277414,1/11/16 10:12,
wm161-7e3,,2236,"2,236",Apple,C02L80SFFFT3,C02L80SFFFT3,,,278722,1/11/16 10:12,
WM18A-B05,,2242,"2,242",Apple,C02LF0VQFFT4,C02LF0VQFFT4,,,274894,1/11/16 10:04,
WM161-7D9,,2244,"2,244",Apple,C02L80SGFFT3,C02L80SGFFT3,,,275632,1/11/16 10:05,
wmdca-99f,,2246,"2,246",Apple,C02L51G8FFRR,C02L51G8FFRR,,,278694,1/11/16 10:11,
gma74-903,,2253,"2,253",Apple,C02K50T6F1G3,C02K50T6F1G3,,,277614,1/11/16 10:12,
wm163-ee0,,2255,"2,255",Apple,C02L88CUF6T6,C02L88CUF6T6,,,275680,1/11/16 10:05,
wm15f-df8,,2257,"2,257",Apple,C02L86T9F6T6,C02L86T9F6T6,,,278708,1/11/16 10:12,
gm4cd-25b,,2261,"2,261",Apple,D25J71BFDHJW,D25J71BFDHJW,,,275910,1/11/16 10:05,
gm1c9-906,,2265,"2,265",Apple,C02HJ3F8DHJQ,C02HJ3F8DHJQ,,,278332,1/11/16 10:12,
wm20e-c64,,2266,"2,266",Apple,C02LD2GSF6T6,C02LD2GSF6T6,,,274418,1/11/16 10:03,
WM213-B84,,2270,"2,270",Apple,C02LD6TWF6T6,C02LD6TWF6T6,,,278754,1/11/16 10:12,
wm204-395,,2271,"2,271",Apple,C02L21YVFFT3,C02L21YVFFT3,,,275774,1/11/16 10:05,
wm214-e42,,2274,"2,274",Apple,C02LD6TXF6T6,C02LD6TXF6T6,,,278760,1/11/16 10:12,
bmb81-3aa,,2277,"2,277",Apple,C02KD2A4F1G3,C02KD2A4F1G3,,,278768,1/11/16 10:12,
wm161-7e1,,2287,"2,287",Apple,C02L80SJFFT3,C02L80SJFFT3,,,276584,1/11/16 10:06,
gm1ca-433,,2290,"2,290",Apple,C02HJ3PFDHJQ,C02HJ3PFDHJQ,,,278086,1/11/16 10:12,
wm292-362,,2293,"2,293",Apple,C02LG4KXF6T6,C02LG4KXF6T6,,,275570,1/11/16 10:05,
wm184-15f,,2296,"2,296",Apple,C02LF00UFFT3,C02LF00UFFT3,,,278026,1/11/16 10:12,
wm897-d2c,,2298,"2,298",Apple,C02LG4V1F6T6,C02LG4V1F6T6,,,276910,1/11/16 10:07,
WM31E-84C,,2300,"2,300",Apple,C02LL0DGFD59,C02LL0DGFD59,,,278776,1/11/16 10:12,
wm1fe-2ce,,2304,"2,304",Apple,C02LD7E6F6T6,C02LD7E6F6T6,,,274714,1/11/16 10:03,
wm184-129,,2307,"2,307",Apple,C02LF00SFFT3,C02LF00SFFT3,,,278168,1/11/16 10:12,
wm9ed-8e8,,2313,"2,313",Apple,C02LP1A8F6T6,C02LP1A8F6T6,,,274636,1/11/16 10:03,
wm459-fb4,,2318,"2,318",Apple,C02LN030FD58,C02LN030FD58,,,278414,1/11/16 10:11,
wm45c-7da,,2324,"2,324",Apple,C02LN02YFD58,C02LN02YFD58,,,278840,1/11/16 10:11,
gm7ea-879,,2325,"2,325",Apple,C02L52FWF1G3,C02L52FWF1G3,,,276086,1/11/16 10:06,
gm7ea-c22,,2327,"2,327",Apple,C02L52G1F1G3,C02L52G1F1G3,,,278856,1/11/16 10:12,
wm066-1e2,,2329,"2,329",Apple,C02JR2T0DRVG,C02JR2T0DRVG,,,278864,1/11/16 10:12,
wm9a0-86e,,2330,"2,330",Apple,C02LM52WF6T6,C02LM52WF6T6,,,275490,1/11/16 10:05,
wm99f-a80,,2340,"2,340",Apple,C02LM5Q7F6T6,C02LM5Q7F6T6,,,275758,1/11/16 10:05,
gm7e5-775,,2341,"2,341",Apple,C02L73BFF1G3,C02L73BFF1G3,,,278878,1/11/16 10:12,
gm7e5-650,,2342,"2,342",Apple,C02L73B9F1G3,C02L73B9F1G3,,,276132,1/11/16 10:06,
gm7ea-7c0,,2343,"2,343",Apple,C02L52G8F1G3,C02L52G8F1G3,,,275932,1/11/16 10:06,
wm99f-a94,,2346,"2,346",Apple,C02LM5Q8F6T6,C02LM5Q8F6T6,,,278894,1/11/16 10:12,
cm7ea-6bf,,2348,"2,348",Apple,C02L52FUF1G3,C02L52FUF1G3,,,278870,1/11/16 10:12,
wm458-518,,2352,"2,352",Apple,C02LN02XFD58,C02LN02XFD58,,,276046,1/11/16 10:06,
wm41e-e00,,2353,"2,353",Apple,C02LP2SUFD59,C02LP2SUFD59,,,278886,1/11/16 10:11,
wm423-2c6,,2355,"2,355",Apple,C02LP2UAFD59,C02LP2UAFD59,,,275766,1/11/16 10:05,
wm9a0-eca,,2356,"2,356",Apple,C02LM5QCF6T6,C02LM5QCF6T6,,,276102,1/11/16 10:06,
bm847-bed,,2357,"2,357",Apple,C02LD23EF1G3,C02LD23EF1G3,,,276030,1/11/16 10:06,
wm64f-944,,2358,"2,358",Apple,C02L427SF6T6,C02L427SF6T6,,,275266,1/11/16 10:04,
wm424-52a,,2359,"2,359",Apple,C02LP2STFD59,C02LP2STFD59,,,278832,1/11/16 10:11,
cm7ea-c06,,2362,"2,362",Apple,C02L52G6F1G3,C02L52G6F1G3,,,278476,1/11/16 10:12,
wm98c-284,,2366,"2,366",Apple,C02LM5AUF6T6,C02LM5AUF6T6,,,278386,1/11/16 10:12,
gm1a1-f62,,2367,"2,367",Apple,D25HN0VSDHJW,D25HN0VSDHJW,,,278926,1/11/16 10:12,
wm965-594,,2369,"2,369",Apple,C02LT3MNFH05,C02LT3MNFH05,,,274590,1/11/16 10:03,
wm494-874,,2370,"2,370",Apple,C02LT01MFD58,C02LT01MFD58,,,274598,1/11/16 10:03,
gm8f8-2e4,,2373,"2,373",Apple,C02LL0M9F1G3,C02LL0M9F1G3,,,274840,1/11/16 10:03,
wmdca-a95,,2377,"2,377",Apple,C02L51GAFFRR,C02L51GAFFRR,,,276340,1/11/16 10:06,
wm911-1aa,,2379,"2,379",Apple,C02LV2L9F6T6,C02LV2L9F6T6,,,278934,1/11/16 10:12,
wmd46-73f,,2380,"2,380",Apple,C02JJ0ULDKQ5,C02JJ0ULDKQ5,,,275002,1/11/16 10:04,
wm98c-f38,,2382,"2,382",Apple,C02LM5BNF6T6,C02LM5BNF6T6,,,274582,1/11/16 10:03,
cmdb5-d1b,,2383,"2,383",Apple,C02L73B5F1G3,C02L73B5F1G3,,,274706,1/11/16 10:03,
wm963-eda,,2385,"2,385",Apple,C02LT45FFD59,C02LT45FFD59,,,274808,1/11/16 10:03,
wmdca-a67,,2386,"2,386",Apple,C02L51G9FFRR,C02L51G9FFRR,,,277914,1/11/16 10:11,
wme09-b97,,2388,"2,388",Apple,C02LH0Q3FFRR,C02LH0Q3FFRR,,,275354,1/11/16 10:04,
wm9e6-9dc,,2389,"2,389",Apple,C02LX4P2FD59,C02LX4P2FD59,,,274720,1/11/16 10:03,
wm963-fb2,,2391,"2,391",Apple,C02LT44XFD59,C02LT44XFD59,,,277062,1/11/16 10:07,
cm7b9-858,,2393,"2,393",Apple,C02L73BDF1G3,C02L73BDF1G3,,,278824,1/11/16 10:12,
gm853-ca1,,2394,"2,394",Apple,C02LD23JF1G3,C02LD23JF1G3,,,275826,1/11/16 10:05,
wm99f-0b4,,2397,"2,397",Apple,C02LM4XRF6T6,C02LM4XRF6T6,,,276062,1/11/16 10:06,
wm9e8-8ee,,2399,"2,399",Apple,C02LX4P6FD59,C02LX4P6FD59,,,278252,1/11/16 10:11,
wm984-a30,,2401,"2,401",Apple,C02LM4WJF6T6,C02LM4WJF6T6,,,278686,1/11/16 10:12,
gm8f8-431,,2404,"2,404",Apple,C02LL0MAF1G3,C02LL0MAF1G3,,,278956,1/11/16 10:12,
wm98c-4f0,,2408,"2,408",Apple,C02LM5PSF6T6,C02LM5PSF6T6,,,278972,1/11/16 10:12,
wma96-f3a,,2410,"2,410",Apple,C02LQ7A8F6T6,C02LQ7A8F6T6,,,278980,1/11/16 10:12,
wmaa1-842,,2418,"2,418",Apple,C02LQ32FF6T6,C02LQ32FF6T6,,,279004,1/11/16 10:12,
wm964-18a,,2419,"2,419",Apple,C02LT3ZSFD59,C02LT3ZSFD59,,,278996,1/11/16 10:11,
wm963-eb8,,2421,"2,421",Apple,C02LT451FD59,C02LT451FD59,,,276504,1/11/16 10:06,
WM495-27C,,2422,"2,422",Apple,C02LT00RFD58,C02LT00RFD58,,,278988,1/11/16 10:12,
wm9ee-076,,2424,"2,424",Apple,C02LX4P4FD59,C02LX4P4FD59,,,278964,1/11/16 10:12,
wm490-274,,2425,"2,425",Apple,C02LT027FD58,C02LT027FD58,,,278228,1/11/16 10:11,
wm424-536,,2428,"2,428",Apple,C02LP2SSFD59,C02LP2SSFD59,,,279068,1/11/16 10:12,
wm963-eb4,,2430,"2,430",Apple,C02LT45NFD59,C02LT45NFD59,,,279036,1/11/16 10:11,
wma99-7a6,,2432,"2,432",Apple,C02M22SBFD58,C02M22SBFD58,,,279084,1/11/16 10:12,
wmbb2-176,,2434,"2,434",Apple,C02M42R5FD59,C02M42R5FD59,,,279028,1/11/16 10:11,
wm910-fee,,2437,"2,437",Apple,C02LV2FFF6T6,C02LV2FFF6T6,,,279132,1/11/16 10:12,
wmbb2-0e4,,2438,"2,438",Apple,C02M42R4FD59,C02M42R4FD59,,,279148,1/11/16 10:11,
wmaa0-a5e,,2439,"2,439",Apple,C02LQ32EF6T6,C02LQ32EF6T6,,,279124,1/11/16 10:12,
